addr:country:,building:levels:,3
addr:country:,building:retail,6
addr:country:,building:use:,1
addr:country:,building:yes,40
addr:country:,changing_table:count:,1
addr:country:,changing_table:fee:,1
addr:country:,changing_table:location:,1
addr:country:,changing_table:yes,1
addr:country:,check_date:,2
addr:country:,check_date:opening_hours:,1
addr:country:,check_date:opening_hours::nonexistant subkey,1
addr:country:,cocktails:yes,1
addr:country:,contact:phone:,2
addr:country:,contact:website:,1
addr:country:,cuisine:,2
addr:country:,cuisine:burger,3
addr:country:,cuisine:chicken,1
addr:country:,cuisine:coffee_shop,1
addr:country:,cuisine:pizza,1
addr:country:,delivery:yes,2
addr:country:,denomination:,1
addr:country:,description:,2
addr:country:,drink:,13
addr:country:,drink:beer:,1
addr:country:,drink:coffee:,1
addr:country:,drink:tea:,1
addr:country:,drink:wine:,1
addr:country:,drive_through:yes,3
addr:country:,ele:,10
addr:country:,email:,1
addr:country:,emergency:,1
addr:country:,faa:,6
addr:country:,gnis:feature_id:,11
addr:country:,healthcare:dentist,1
addr:country:,healthcare:hospital,2
addr:country:,healthcare:pharmacy,1
addr:country:,healthcare:speciality:psychiatry,1
addr:country:,height:,43
addr:country:,highchair:,1
addr:country:,iata:,6
addr:country:,icao:,6
addr:country:,indoor_seating:,3
addr:country:,internet_access:fee:,1
addr:country:,internet_access:ssid:,1
addr:country:,internet_access:wlan,4
addr:country:,lacounty:ain:,1
addr:country:,lacounty:bld_id:,1
addr:country:,leisure:fitness_centre,1
addr:country:,level:,1
addr:country:,name:,40
addr:country:,name:McDonald's,2
addr:country:,name:Starbucks,1
addr:country:,name:etymology:wikidata:,6
addr:country:,office:estate_agent,1
addr:country:,office:insurance,1
addr:country:,official_name:,1
addr:country:,old_name:,9
addr:country:,opening_hours:,12
addr:country:,opening_hours:drive_through:,1
addr:country:,operator:,9
addr:country:,operator:short:,3
addr:country:,operator:type:,1
addr:country:,operator:type:public,3
addr:country:,operator:wikidata:,5
addr:country:,outdoor_seating:no,3
addr:country:,payment:,2
addr:country:,payment:american_express:,2
addr:country:,payment:cash:,2
addr:country:,payment:cheque:,1
addr:country:,payment:contactless:,1
addr:country:,payment:discover_card:,2
addr:country:,payment:mastercard:,2
addr:country:,payment:visa:,2
addr:country:,phone:,12
addr:country:,ref:,10
addr:country:,ref::nonexistant subkey,1
addr:country:,religion:christian,1
addr:country:,reservation:,1
addr:country:,roof:levels:,1
addr:country:,shop:bakery,1
addr:country:,shop:beauty,1
addr:country:,shop:car_repair,1
addr:country:,shop:convenience,1
addr:country:,shop:dry_cleaning,3
addr:country:,shop:hairdresser,1
addr:country:,shop:supermarket,3
addr:country:,shop:yes,1
addr:country:,short_name:,4
addr:country:,smoking:no,1
addr:country:,start_date:,1
addr:country:,takeaway:yes,6
addr:country:,toilets:access:,1
addr:country:,toilets:wheelchair:,2
addr:country:,toilets:yes,1
addr:country:,tourism:hotel,1
addr:country:,url:,1
addr:country:,website:,17
addr:country:,website:menu:,1
addr:country:,wheelchair:yes,4
addr:country:,wikidata:,7
addr:country:,wikimedia_commons:,1
addr:country:,wikipedia:,10
addr:county:,addr:postcode:,2
addr:county:,addr:street:,2
addr:county:,attribution:,7
addr:county:,description:,7
addr:county:,landuse:industrial,3
addr:county:,name:,2
addr:county:,natural:scrub,4
addr:county:,phone:,2
addr:county:,route:,2
addr:floor:,addr:housenumber:,1
addr:floor:,addr:street:,1
addr:floor:,amenity:cafe,1
addr:floor:,bar:,1
addr:floor:,changing_table:count:,1
addr:floor:,changing_table:location:,1
addr:floor:,changing_table:yes,1
addr:floor:,check_date:,1
addr:floor:,contact:facebook:,1
addr:floor:,contact:instagram:,1
addr:floor:,cuisine:,1
addr:floor:,delivery:yes,1
addr:floor:,internet_access:no,1
addr:floor:,level:,1
addr:floor:,name:,1
addr:floor:,opening_hours:,1
addr:floor:,outdoor_seating:yes,1
addr:floor:,payment:mastercard:,1
addr:floor:,payment:visa:,1
addr:floor:,takeaway:yes,1
addr:floor:,website:,1
addr:floor:,wheelchair:yes,1
addr:full:,addr:housenumber:,3
addr:full:,addr:state:CA,3
addr:full:,addr:street:,3
addr:housename:,addr:housenumber:,3
addr:housename:,addr:street:,3
addr:housename:,building:public,3
addr:housename:,name:,3
addr:housenumber:,addr:postcode:,5643
addr:housenumber:,addr:state:CA,1010
addr:housenumber:,addr:state:NC,441
addr:housenumber:,addr:street:,11505
addr:housenumber:,addr:unit:,421
addr:housenumber:,aerodrome:,5
addr:housenumber:,aerodrome:type:,5
addr:housenumber:,aeroway:aerodrome,11
addr:housenumber:,aeroway:hangar,1
addr:housenumber:,after_school:,1
addr:housenumber:,air_conditioning:,1
addr:housenumber:,alt_name:,11
addr:housenumber:,amenity:,1
addr:housenumber:,amenity:arts_centre,1
addr:housenumber:,amenity:atm,1
addr:housenumber:,amenity:bank,15
addr:housenumber:,amenity:cafe,17
addr:housenumber:,amenity:car_rental,1
addr:housenumber:,amenity:childcare,5
addr:housenumber:,amenity:clinic,1
addr:housenumber:,amenity:dentist,9
addr:housenumber:,amenity:doctors,1
addr:housenumber:,amenity:dojo,2
addr:housenumber:,amenity:driving_school,1
addr:housenumber:,amenity:fast_food,38
addr:housenumber:,amenity:fire_station,3
addr:housenumber:,amenity:fuel,9
addr:housenumber:,amenity:hospital,5
addr:housenumber:,amenity:ice_cream,1
addr:housenumber:,amenity:library,1
addr:housenumber:,amenity:marketplace,1
addr:housenumber:,amenity:parking,4
addr:housenumber:,amenity:pharmacy,5
addr:housenumber:,amenity:place_of_worship,12
addr:housenumber:,amenity:police,2
addr:housenumber:,amenity:post_office,7
addr:housenumber:,amenity:prep_school,2
addr:housenumber:,amenity:pub,2
addr:housenumber:,amenity:restaurant,40
addr:housenumber:,amenity:school,20
addr:housenumber:,amenity:social_facility,1
addr:housenumber:,amenity:theatre,2
addr:housenumber:,amenity:vehicle_inspection,1
addr:housenumber:,amenity:veterinary,2
addr:housenumber:,atm:yes,19
addr:housenumber:,bar:,2
addr:housenumber:,beauty:,6
addr:housenumber:,beds:,1
addr:housenumber:,branch:,42
addr:housenumber:,brand:,165
addr:housenumber:,brand:website:,4
addr:housenumber:,brand:wikidata:,164
addr:housenumber:,brand:wikipedia:,2
addr:housenumber:,building:,1
addr:housenumber:,building:apartments,91
addr:housenumber:,building:church,4
addr:housenumber:,building:civic,3
addr:housenumber:,building:commercial,43
addr:housenumber:,building:detached,59
addr:housenumber:,building:fire_station,2
addr:housenumber:,building:garage,1
addr:housenumber:,building:hangar,1
addr:housenumber:,building:hospital,1
addr:housenumber:,building:hotel,1
addr:housenumber:,building:house,697
addr:housenumber:,building:industrial,26
addr:housenumber:,building:levels:,97
addr:housenumber:,building:office,2
addr:housenumber:,building:part:,5
addr:housenumber:,building:public,4
addr:housenumber:,building:residential,28
addr:housenumber:,building:retail,75
addr:housenumber:,building:roof,3
addr:housenumber:,building:school,2
addr:housenumber:,building:terrace,3
addr:housenumber:,building:units:,560
addr:housenumber:,building:use:,2
addr:housenumber:,building:warehouse,23
addr:housenumber:,building:yes,9347
addr:housenumber:,capacity:,2
addr:housenumber:,changing_table:count:,3
addr:housenumber:,changing_table:fee:,2
addr:housenumber:,changing_table:location:,3
addr:housenumber:,changing_table:yes,3
addr:housenumber:,check_date:,12
addr:housenumber:,check_date:opening_hours:,4
addr:housenumber:,check_date:opening_hours::nonexistant subkey,1
addr:housenumber:,club:sport,2
addr:housenumber:,cocktails:yes,1
addr:housenumber:,compressed_air:,3
addr:housenumber:,contact:email:,1
addr:housenumber:,contact:facebook:,8
addr:housenumber:,contact:instagram:,6
addr:housenumber:,contact:linkedin:,5
addr:housenumber:,contact:phone:,2
addr:housenumber:,contact:twitter:,5
addr:housenumber:,contact:website:,2
addr:housenumber:,contact:youtube:,5
addr:housenumber:,country:,1
addr:housenumber:,craft:,1
addr:housenumber:,craft:atelier,2
addr:housenumber:,cuisine:,12
addr:housenumber:,cuisine:american,1
addr:housenumber:,cuisine:bagel,1
addr:housenumber:,cuisine:bubble_tea,1
addr:housenumber:,cuisine:burger,10
addr:housenumber:,cuisine:chicken,3
addr:housenumber:,cuisine:chinese,4
addr:housenumber:,cuisine:coffee_shop,11
addr:housenumber:,cuisine:french,1
addr:housenumber:,cuisine:frozen_yogurt,1
addr:housenumber:,cuisine:greek,1
addr:housenumber:,cuisine:ice_cream,1
addr:housenumber:,cuisine:indian,1
addr:housenumber:,cuisine:italian,2
addr:housenumber:,cuisine:japanese,2
addr:housenumber:,cuisine:mexican,7
addr:housenumber:,cuisine:noodle,2
addr:housenumber:,cuisine:pizza,6
addr:housenumber:,cuisine:regional,1
addr:housenumber:,cuisine:sandwich,5
addr:housenumber:,cuisine:seafood,3
addr:housenumber:,cuisine:steak_house,1
